Layer,Head,UUAS_English,UUAS_Hindi,UUAS_Diff,UUAS_Combined
10,10,0.3973,0.3509,0.0463,0.7482
10,11,0.4050,0.3890,0.0160,0.7940
11,0,0.3511,0.2315,0.1196,0.5826
11,1,0.3236,0.2219,0.1016,0.5455
11,2,0.2795,0.1679,0.1116,0.4475
11,3,0.3794,0.2229,0.1565,0.6022
11,4,0.4407,0.3374,0.1033,0.7780
11,5,0.2741,0.1209,0.1532,0.3951
11,6,0.3182,0.2761,0.0421,0.5943
11,7,0.4398,0.4309,0.0089,0.8708
11,8,0.3349,0.2310,0.1039,0.5659
11,9,0.2862,0.1449,0.1412,0.4311
11,10,0.3449,0.2226,0.1223,0.5675
11,11,0.3470,0.2482,0.0989,0.5952
